number,name,adress,legalForm
881,EGK Grundversicherungen AG,Brislachstrasse 2 Postfach 4242 Laufen Tel. 061 765 51 11 Fax 061 765 51 12 info@egk.ch www.egk.ch,AG SA SA
923,Krankenkasse SLKK,Hofwiesenstrasse 370 Postfach 5652 8050 Zürich Tel. 044 368 70 30 Fax 044 368 70 47 info@slkk.ch www.slkk.ch,Genossenschaft Société coopérative Società cooperativa
941,sodalis gesundheitsgruppe,Balfrinstrasse 15 3930 Visp Tel. 027 948 14 00 Fax 027 948 14 04 info@sodalis.ch www.sodalis.ch,Verein Association Associazione
966,vita surselva,Bahnhofstrasse 33 Postfach 217 7130 Ilanz Tel. 081 925 61 60 Fax 081 925 61 73 vitasurselva@bluewin.ch www.vitasurselva.ch,Stiftung Fondation Fondazione
994,Progrès Versicherungen AG Progrès Assurances SA Progrès Assicurazioni SA,Helsana-Gruppe Progrès Versicherungen AG Postfach 8081 Zürich Tel. 043 340 11 12 Fax 043 340 01 11 www.progres.ch,AG SA SA
1040,KKV Krankenkasse Visperterminen,Wierastrasse 3932 Visperterminen Tel. 027 948 00 50 Fax 027 948 00 51 kkv@visperterminen.ch www.kkv.ch,Verein Association Associazione
1060,Wincare Versicherungen Wincare Assurances Wincare Assicurazioni,Konradstrasse 14 Postfach 299 8401 Winterthur Tel. 044 298 63 00 Fax 044 298 62 50 info@wincare.ch www.wincare.ch,AG SA SA
1142,Krankenkasse Institut Ingenbohl,Postfach 57 8840 Einsiedeln Tel. 041 825 22 37 Fax 055 412 88 34 kkingenbohl@hin.ch,Stiftung Fondation Fondazione
1147,Krankenkasse Turbenthal,Tösstalstrasse 147 8488 Turbenthal Tel. 052 385 33 65,Verein Association Associazione
1179,Caisse-maladie du Personnel communal de la Ville de Neuchâtel,Hôtel de Ville 2000 Neuchâtel Groupe Mutuel Caisse-maladie du Personnel communal de la Ville de Neuchâtel Rue du Nord 5 1919 Martigny Tel. 0848 803 111 Fax 0848 803 112 info@groupemutuel.ch www.groupemutuel.ch,Stiftung Fondation Fondazione
1318,Stiftung Krankenkasse Wädenswil,Schönenbergstrasse 28 8820 Wädenswil Tel. 044 780 74 00 Fax 044 780 87 33 www.kkwaedenswil.ch,Stiftung Fondation Fondazione
1322,Krankenkasse Birchmeier,Hauptstrasse 22 5444 Künten Tel. 056 485 60 40 Fax 056 485 60 45 info@kkbirchmeier.ch www.kkbirchmeier.ch,Verein Association Associazione
1328,kmu-Krankenversicherung,Bachtelstrasse 5 8400 Winterthur Tel. 052 269 12 60 Fax 052 269 12 65 info@kmu-kv.ch www.kmu-kv.ch,Stiftung Fondation Fondazione
1331,Krankenkasse Stoffel,Bahnhofstrasse 63 8887 Mels Tel. 081 723 56 09 Fax 081 723 76 55 info@kkstoffel.ch www.kkstoffel.ch,Verein Association Associazione
1362,Krankenkasse Simplon,3907 Simplon-Dorf Tel. 027 979 14 39 Fax 027 979 14 39 kk.simplondorf@rhone.ch,Verein Association Associazione
1386,GALENOS Kranken- und Unfallversicherung Assurance-maladie et accidents Assicurazione-malattia e infortuni,Militärstrasse 36 Postfach 8021 Zürich Tel. 044 245 88 88 Fax 044 245 88 99 info@galenos.ch www.galenos.ch,Verein Association Associazione
1401,rhenusana,Heinrich-Wild-Strasse 210 Postfach 9435 Heerbrugg Tel. 071 727 88 00 Fax 071 727 88 99 info@rhenusana.ch www.rhenusana.ch,Verein Association Associazione
1402,Taggeldkasse bildende Künstler/Innen Caisse d’indemnités journalières pour artistes,General Guisan-Quai 40 Postfach 4338 8022 Zürich Tel. 043 284 36 99 Fax 043 284 53 60,Stiftung Fondation Fondazione
1479,Mutuel Assurance Maladie SA Mutuel Krankenversiche- rung AG Mutuel Assicurazione Malattia SA,Groupe Mutuel Mutuel Assurances Rue des Cèdres 5 1919 Martigny Tel. 0848 803 111 Fax 0848 803 112 info@groupemutuel.ch www.groupemutuel.ch,AG SA SA
1491,Gewerbliche Krankenkasse Bern,Neuengasse 20 Postfach 414 3000 Bern 7 Tel. 031 310 11 11 Fax 031 310 11 22 gvb@gewerbebern.ch,Verein Association Associazione
1507,Fondation AMB,Route de Verbier 13 1934 Le Châble Tel. 058 758 60 70 Fax 058 758 60 89 info@amb-assurance.ch www.amb-assurance.ch,Stiftung Fondation Fondazione
1509,Sanitas Grundversicherungen AG,Jägergasse 3 Postfach 2010 8021 Zürich Tel. 044 298 63 00 Fax 044 298 62 50 info@sanitas.com www.sanitas.com,AG SA SA
1522,Krankenkasse Schweizerischer Metallbaufirmen,Dielsdorferstrasse 1 Postfach 56 8173 Neerach Tel. 01 321 55 30 Fax 01 321 55 52,Verein Association Associazione
1529,INTRAS Assurance- maladie SA INTRAS Kranken- Versicherung AG INTRAS Assicurazione malattie SA,Tribschenstrasse 21 Postfach 2568 6002 Luzern Tel. 058 277 11 11 Fax 058 277 12 12 css.info@css.ch www.css.ch,AG SA SA
1535,Philos Assurance Maladie SA Philos Krankenversiche- rung AG Philos Assicurazione Malattia SA,Groupe Mutuel Philos Caisse maladie-accident Rue des Cèdres 5 1919 Martigny Tel. 0848 803 111 Fax 0848 803 112 info@groupemutuel.ch www.groupemutuel.ch,AG SA SA
1540,Krankengeldversicherung für Mitarbeiter der fenaco- Mitgliedgenossenschaften (KGV),Postfach 344 8401 Winterthur Tel. 052 264 23 20 (21) Fax 052 213 67 93,Stiftung Fondation Fondazione
1542,Assura-Basis SA,Avenue C.-F. Ramuz 70 1009 Pully Tel. 021 721 44 11 Fax 021 721 46 99 assura@assura.ch www.assura.ch,AG SA SA
1555,Visana AG,Weltpoststrasse 19/21 Postfach 253 3000 Bern 15 Tel. 031 357 91 11 Fax 031 357 96 22 info@visana.ch www.visana.ch,AG SA SA
1560,Agrisano Krankenkasse AG,Laurstrasse 10 5201 Brugg AG Tel. 056 461 71 11 Fax 056 461 71 07 info@agrisano.ch www.agrisano.ch,AG SA SA
1565,avanex Versicherungen AG avenex Assurances SA avanex Assicurazioni SA,Helsana-Gruppe avanex Versicherungen AG Postfach 8081 Zürich Tel. 043 340 11 13 Fax 043 340 01 11 www.avanex.ch,AG SA SA
1566,sansan Versicherungen AG sansan Assurances SA sansan Assicurazioni SA,Helsana-Gruppe sansan Versicherungen AG Postfach 8081 Zürich Tel. 043 340 11 14 Fax 043 340 01 11 www.sansan.ch,AG SA SA
1568,sana24 AG,Weltpoststrasse 19/21 Postfach 253 3000 Bern 15 Tel. 031 357 91 11 Fax 031 357 96 22 info@visana.ch www.visana.ch,AG SA SA
1569,Arcosana AG,Tribschenstrasse 21 6002 Luzern Tel. 058 277 11 11 Fax 058 277 12 12 info.mail@arcosana.ch www.arcosana.ch,AG SA SA
1570,vivacare AG,Weltpoststrasse 19/21 Postfach 253 3000 Bern 15 Tel. 031 357 91 11 Fax 031 357 96 22 info@visana.ch www.visana.ch,AG SA SA
1573,indivo Versicherungen AG indivo Assurances SA indivo Assicurazioni SA,Helsana-Gruppe indivo Versicherungen AG Postfach 8081 Zürich Tel. 043 340 11 17 Fax 043 340 01 17 www.indivo.ch,AG SA SA
1575,Compact Grundversicherungen AG Compact Assurances de base SA Compact Assicurazioni base SA,Jägergasse 3 Postfach 2010 8021 Zürich Tel. 044 298 63 00 Fax 044 298 62 50 info@sanitas.com www.sanitas.com,AG SA SA
