source.name,OECD & World Bank,OCDE & Banque Mondiale,OECD & Weltbank,OCSE e Banca Mondiale,OCDE e Banco Mundial,البنك الدولي,OECD & World Bank,OCDE y Banco Mundial,経済協力開発機構と世界銀行,经合组织及世界银行
code,Code,code,Code,Codice,código,الرمز,Код,código,コード,代码
title.width,67,67,67,67,67,67,67,67,67,67
footerA.width,168,172,168,172,168,168,168,168,110,150
footerB.width,180,180,168,180,168,168,158,168,150,150
title2,"There comes a point where extra spending on healthcare benefits citizens very little, if at all.","A un certain stade, les dépenses supplémentaires pour la santé bénéficient peu, voire pas du tout, aux citoyens",Ab einem gewissen Punkt profitieren die Menschen - wenn überhaupt - nur noch wenig von zusätzlichen Gesundheitsausgaben.,"C'è un punto oltre il quale le spese supplementari per la sanità danno poco, o nessun beneficio ai cittadini. ",A partir de um determinado ponto as pessoas aproveitam pouco das despesas adicionais com saúde,في مرحلة ما، تصبح الفائدة الصحية للإنفاق الإضافي بالنسبة للمواطنين محدودة جدا، أو منعدمة أصلا.,"Начиная с определенного момента дополнительные расходы на здравоохранение начинают приносить очень малую пользу, либо вообще никакой.","En un punto determinado, los gastos suplementarios para la salud son poco o nada benéficos para los ciudadanos",医療費の増加による市民への恩恵はほとんどないと思われるが、ある一線を超えるとさらに減少。,当健康支出达到某一水平后，其附加值极少或根本无法让公民受益。
subtitle,In 2014. Bubbles size is proportional to the share of healthcare expenditures compared to countries' total gross domestic product (GDP),En 2014. La taille des bulles est proportionnelle à la part des dépenses de santé par rapport au produit intérieur brut (PIB) total du pays. ,2014. Die Grösse der Blasen ist proportional zum Anteil Gesundheitsausgaben im Vergleich mit dem BIP des Landes.,Nel 2014. La dimensione delle bolle dipende dalla proporzione della spesa sanitaria rispetto al prodotto interno lordo (PIL) totale del paese.  ,Em 2014. O tamanho das bolhas é proporcional à parte de despesas de saúde em relação ao PIB do país.,في عام 2014، حجم الفقاعات يتناسب مع حصة الإنفاق على الصحّة بالنسبة إلى إجمالي الناتج المحلّي.,2014 г. Размер кругов пропорционален части расходов на здравоохранение в сравнении с совокупным ВВП страны. ,En 2014. La talla de los círculos es proporcional a la parte de los gastos de salud en relación con el Producto Interno Bruto (PIB) total del país.,２０１４年。円の大きさは国内総生産に対する医療費の割合を表す。,2014年数据：圆圈大小反映出健康总支出同全国国内生产总值的比值关系。
y.lab2,Life Expectancy,Espérance de vie,Lebenserwartung,Speranza di vita,Esperança de vida,العمر المتوقّع,Продолжительность жизни,Esperanza de vida,平均寿命,平均寿命
x.lab2b,"(adjusted for inflation, at PPP constant 2011 USD)","(ajustée pour l'inflation, en USD 2011 à PPA)  ","(Inflationsbereinigt, in internationalen USD Kaufkraftparität 2011)","(adeguata all'inflazione, in dollari americani nel 2011 a PPA)",(ajustado segundo a inflação em dólares americanos e expresso em paridades de poder de compra de 2011),ضبط النفقات بحسب التضخّم بالدولار الامريكي (2010) ,"(с поправкой на инфляцию и учетом покупательной способности, в долларах, в 2011 г.)",(ajustado a la inflación en dólares EE UU en 2011 a PPA),（２０１１年の相対的購買力平価、単位：米ドル）,(根据通货膨胀因素调整后的数字，以2010年美元购买力平价计算)
he.tp2,USD*,USD*,USD*,Dollari americani*,Dólares americanos*,الدولار الأمريكي*,доллары США*,Dólares EE UU*,米ドル*,美元*
le.tp2,years,ans,Jahre,anni,anos,السنوات,лет,año,年,岁
gdp.tp,Health expenditure in % of GDP,Dépenses pour la santé en % du PIB,Gesundheitsausgaben in % des BIP,Spesa sanitaria in % del PIL,Despesas com a saúde em % do PIB,الإنفاق على الصحة بالنسبة المائوية من إجمالي الناتج المحلّي,Расходы на здравоохранение в % от ВВП,Gastos en salud en % del PIB,国内総生産に対する医療費の割合,健康支出占国内生产总值百分比
legend.key,Click to show or hide,Cliquez pour masquer ou afficher,Anklicken zum Aus- oder Einblenden,Clicca per nascondere o mostrare,Clique para ocultar ou ver,اضغط للتغطية أو للإظهار,"Нажмите, чтобы показать или скрыть",Pulsar para mostrar u ocultar,クリックで表示・非表示の切り替えができます,点击打开或收起
source2.name,World Bank,Banque Mondiale,Weltbank,Banca Mondiale,Banco Mundial,البنك الدولي,World Bank,Banco Mudial,世界銀行,世界银行
source2.url,http://data.worldbank.org/indicator/SH.XPD.PCAP.PP.KD,http://data.worldbank.org/indicator/SH.XPD.PCAP.PP.KD,http://data.worldbank.org/indicator/SH.XPD.PCAP.PP.KD,http://data.worldbank.org/indicator/SH.XPD.PCAP.PP.KD,http://data.worldbank.org/indicator/SH.XPD.PCAP.PP.KD,http://data.worldbank.org/indicator/SH.XPD.PCAP.PP.KD,http://data.worldbank.org/indicator/SH.XPD.PCAP.PP.KD,http://data.worldbank.org/indicator/SH.XPD.PCAP.PP.KD,http://data.worldbank.org/indicator/SH.XPD.PCAP.PP.KD,http://data.worldbank.org/indicator/SH.XPD.PCAP.PP.KD
code.name,highcharter,highcharter,highcharter,highcharter,highcharter,highcharter,highcharter,highcharter,highcharter,highcharter
code.url,https://github.com/jbkunst/highcharter,https://github.com/jbkunst/highcharter,https://github.com/jbkunst/highcharter,https://github.com/jbkunst/highcharter,https://github.com/jbkunst/highcharter,https://github.com/jbkunst/highcharter,https://github.com/jbkunst/highcharter,https://github.com/jbkunst/highcharter,https://github.com/jbkunst/highcharter,https://github.com/jbkunst/highcharter
footer.tp,* at purchasing power parity (constant 2011 international USD).,* à parité de pouvoir d'achat (dollars internationaux constants de 2011).,* Bei Kaufkraftparität (konstante internationale USD 2011).,*a parità di potere d'acquisto (dollari internazionali 2011 costanti),* A paridade do poder de compra (constante em dólares internacionais em 2011),تعادل القوة الشرائية (بالدولار الدولي في عام 2011). ,"*с учетом паритета покупательной способности (в долларах, по курсу 2011 г.)",*en paridad de poder de compra (dólares internacionales constantes 2011),*購買力平価で見る（２０１１年の実質米ドル）,*购买力平价(以2010年国际元常数为单位)
title.font,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,OpenSans-CondensedBold,PingFang TC Regular,PingFang TC Regular
base.font,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,OpenSans-CondensedLight,PingFang TC Thin,PingFang TC Thin
